Aggregated Community-Scale Utility Energy Data,,,,,
,,,,,
Municipality,County,Municipality,Year,Total Residential Electricity,Total Residential Natural Gas
Millstone borough,Somerset,"Millstone borough, Somerset County",2021,1756333,156100
Millstone township,Monmouth,"Millstone township, Monmouth County",2015,56629661,4643888
Millstone township,Monmouth,"Millstone township, Monmouth County",2016,NDA,4416049
Millstone township,Monmouth,"Millstone township, Monmouth County",2017,NDA,4543020
Millstone township,Monmouth,"Millstone township, Monmouth County",2018,57306855,4971654
Millstone township,Monmouth,"Millstone township, Monmouth County",2019,53988222,4822956
Millstone township,Monmouth,"Millstone township, Monmouth County",2020,54929010,4602936
Millstone township,Monmouth,"Millstone township, Monmouth County",2021,56867909,4708801
Milltown borough,Middlesex,"Milltown borough, Middlesex County",2015,94856,2561573
Milltown borough,Middlesex,"Milltown borough, Middlesex County",2016,95597,2256347
Milltown borough,Middlesex,"Milltown borough, Middlesex County",2017,92563,2280002
Milltown borough,Middlesex,"Milltown borough, Middlesex County",2018,93463,2595821
Milltown borough,Middlesex,"Milltown borough, Middlesex County",2019,95683,2440030
Milltown borough,Middlesex,"Milltown borough, Middlesex County",2020,100942,2248181
Milltown borough,Middlesex,"Milltown borough, Middlesex County",2021,111941,2328037
Millville city,Cumberland,"Millville city, Cumberland County",2015,120628128,6077969
Millville city,Cumberland,"Millville city, Cumberland County",2016,113901087,5034947
Millville city,Cumberland,"Millville city, Cumberland County",2017,107398262,5127343
Millville city,Cumberland,"Millville city, Cumberland County",2018,112049958,6015371
Millville city,Cumberland,"Millville city, Cumberland County",2019,107420521,5562739
Millville city,Cumberland,"Millville city, Cumberland County",2020,108463232,5359384
Millville city,Cumberland,"Millville city, Cumberland County",2021,110998333,5775622
Mine Hill township,Morris,"Mine Hill township, Morris County",2015,13775653,688602
Mine Hill township,Morris,"Mine Hill township, Morris County",2016,NDA,632512
Mine Hill township,Morris,"Mine Hill township, Morris County",2017,NDA,658632
Mine Hill township,Morris,"Mine Hill township, Morris County",2018,13463501,761657
Mine Hill township,Morris,"Mine Hill township, Morris County",2019,13204212,825422
Mine Hill township,Morris,"Mine Hill township, Morris County",2020,13528475,720696
Mine Hill township,Morris,"Mine Hill township, Morris County",2021,13532594,811530
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth County",2015,20024897,1503156
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth County",2016,NDA,1291399
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth County",2017,NDA,1380244
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth County",2018,21453631,1567171
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth County",2019,20805779,1465724
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth County",2020,21118922,1406496
Monmouth Beach borough,Monmouth,"Monmouth Beach borough, Monmouth County",2021,22183672,1441359
Monroe township,Gloucester,"Monroe township, Gloucester County",2015,140122527,9452764
Monroe township,Gloucester,"Monroe township, Gloucester County",2016,133803021,7889002
Monroe township,Gloucester,"Monroe township, Gloucester County",2017,123469302,7980971
Monroe township,Gloucester,"Monroe township, Gloucester County",2018,129359696,9506261
Monroe township,Gloucester,"Monroe township, Gloucester County",2019,123495078,8855527
Monroe township,Gloucester,"Monroe township, Gloucester County",2020,124748972,8358685
Monroe township,Gloucester,"Monroe township, Gloucester County",2021,126524455,9042978
Monroe township,Middlesex,"Monroe township, Middlesex County",2015,233500973,15628364
Monroe township,Middlesex,"Monroe township, Middlesex County",2016,9812,14329208
Monroe township,Middlesex,"Monroe township, Middlesex County",2017,9047,14943014
Monroe township,Middlesex,"Monroe township, Middlesex County",2018,237177002,17347814
Monroe township,Middlesex,"Monroe township, Middlesex County",2019,230475509,16692678
Monroe township,Middlesex,"Monroe township, Middlesex County",2020,230216875,24178587
Monroe township,Middlesex,"Monroe township, Middlesex County",2021,239176924,25319885
Montague township,Sussex,"Montague township, Sussex County",2015,18394566,NDA
Montague township,Sussex,"Montague township, Sussex County",2016,1988667,NDA
Montague township,Sussex,"Montague township, Sussex County",2017,1959243,NDA
Montague township,Sussex,"Montague township, Sussex County",2018,21167406,NDA
Montague township,Sussex,"Montague township, Sussex County",2019,18710428,NDA
Montague township,Sussex,"Montague township, Sussex County",2020,19323541,NDA
Montague township,Sussex,"Montague township, Sussex County",2021,20300509,NDA
Montclair township,Essex,"Montclair township, Essex County",2015,123354616,16557162
Montclair township,Essex,"Montclair township, Essex County",2016,122456924,13937203
Montclair township,Essex,"Montclair township, Essex County",2017,116961423,14484787
Montclair township,Essex,"Montclair township, Essex County",2018,125199992,16851987
Montclair township,Essex,"Montclair township, Essex County",2019,119709863,15938819
Montclair township,Essex,"Montclair township, Essex County",2020,126151636,14694265
Montclair township,Essex,"Montclair township, Essex County",2021,128113099,15526592
Montgomery township,Somerset,"Montgomery township, Somerset County",2015,86576450,8605659
Montgomery township,Somerset,"Montgomery township, Somerset County",2016,85507760,7277401
Montgomery township,Somerset,"Montgomery township, Somerset County",2017,81172213,7858759
Montgomery township,Somerset,"Montgomery township, Somerset County",2018,86077566,8883474
Montgomery township,Somerset,"Montgomery township, Somerset County",2019,83155442,8394844
Montgomery township,Somerset,"Montgomery township, Somerset County",2020,87398281,7931554
Montgomery township,Somerset,"Montgomery township, Somerset County",2021,89431888,8454298
Montvale borough,Bergen,"Montvale borough, Bergen County",2015,32821051,3802149
Montvale borough,Bergen,"Montvale borough, Bergen County",2016,32678791,3555353
Montvale borough,Bergen,"Montvale borough, Bergen County",2017,30891948,3773114
Montvale borough,Bergen,"Montvale borough, Bergen County",2018,32642717,3905014
Montvale borough,Bergen,"Montvale borough, Bergen County",2019,30778667,3941011
Montvale borough,Bergen,"Montvale borough, Bergen County",2020,33095853,3575363
Montvale borough,Bergen,"Montvale borough, Bergen County",2021,32343705,3665550
Montville township,Morris,"Montville township, Morris County",2015,96719675,7963929
Montville township,Morris,"Montville township, Morris County",2016,NDA,6801397
Montville township,Morris,"Montville township, Morris County",2017,NDA,7474961
Montville township,Morris,"Montville township, Morris County",2018,94174294,8472269
Montville township,Morris,"Montville township, Morris County",2019,90859418,8000187
Montville township,Morris,"Montville township, Morris County",2020,93933433,7746615
Montville township,Morris,"Montville township, Morris County",2021,94458742,7959307
Moonachie borough,Bergen,"Moonachie borough, Bergen County",2015,8799350,835961
Moonachie borough,Bergen,"Moonachie borough, Bergen County",2016,8462909,692627
Moonachie borough,Bergen,"Moonachie borough, Bergen County",2017,8162983,750818
Moonachie borough,Bergen,"Moonachie borough, Bergen County",2018,8784751,829183
Moonachie borough,Bergen,"Moonachie borough, Bergen County",2019,8372319,798788
Moonachie borough,Bergen,"Moonachie borough, Bergen County",2020,8452744,723167
Moonachie borough,Bergen,"Moonachie borough, Bergen County",2021,8396131,758148
Moorestown township,Burlington,"Moorestown township, Burlington County",2015,97575942,8331836
Moorestown township,Burlington,"Moorestown township, Burlington County",2016,97263002,7590178
Moorestown township,Burlington,"Moorestown township, Burlington County",2017,90750159,7305975
Moorestown township,Burlington,"Moorestown township, Burlington County",2018,98675606,8747002
Moorestown township,Burlington,"Moorestown township, Burlington County",2019,93997183,8075890
Moorestown township,Burlington,"Moorestown township, Burlington County",2020,95403091,7416575
Moorestown township,Burlington,"Moorestown township, Burlington County",2021,95626470,7778855
Morris Plains borough,Morris,"Morris Plains borough, Morris County",2015,20210866,2427243
Morris Plains borough,Morris,"Morris Plains borough, Morris County",2016,NDA,2256942
Morris Plains borough,Morris,"Morris Plains borough, Morris County",2017,NDA,2221355
Morris Plains borough,Morris,"Morris Plains borough, Morris County",2018,20647851,2509872
Morris Plains borough,Morris,"Morris Plains borough, Morris County",2019,20183658,2446694
Morris Plains borough,Morris,"Morris Plains borough, Morris County",2020,20745048,2220114
Morris Plains borough,Morris,"Morris Plains borough, Morris County",2021,21362098,2273354
Morris township,Morris,"Morris township, Morris County",2015,89090832,9902064
Morris township,Morris,"Morris township, Morris County",2016,NDA,8692852
Morris township,Morris,"Morris township, Morris County",2017,NDA,9154056
Morris township,Morris,"Morris township, Morris County",2018,87841544,10309192
Morris township,Morris,"Morris township, Morris County",2019,85406806,9824811
Morris township,Morris,"Morris township, Morris County",2020,87653597,9222379
Morris township,Morris,"Morris township, Morris County",2021,89740027,9415860
Morristown Town,Morris,"Morristown Town, Morris County",2015,60437033,5170639
Morristown Town,Morris,"Morristown Town, Morris County",2016,9670,4585482
Morristown Town,Morris,"Morristown Town, Morris County",2017,6835,4759834
Morristown Town,Morris,"Morristown Town, Morris County",2018,61871956,5386094
Morristown Town,Morris,"Morristown Town, Morris County",2019,60255256,5093710
Morristown Town,Morris,"Morristown Town, Morris County",2020,61039462,4717076
Morristown Town,Morris,"Morristown Town, Morris County",2021,65234427,4772028
Mount Arlington borough,Morris,"Mount Arlington borough, Morris County",2015,19159033,902502
Mount Arlington borough,Morris,"Mount Arlington borough, Morris County",2016,NDA,899004
Mount Arlington borough,Morris,"Mount Arlington borough, Morris County",2017,NDA,908106
Mount Arlington borough,Morris,"Mount Arlington borough, Morris County",2018,21153588,1085875
Mount Arlington borough,Morris,"Mount Arlington borough, Morris County",2019,20488698,1296139
Mount Arlington borough,Morris,"Mount Arlington borough, Morris County",2020,20893075,1006435
Mount Arlington borough,Morris,"Mount Arlington borough, Morris County",2021,21153346,1265271
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden County",2015,15577878,1211563
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden County",2016,15480092,1090337
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden County",2017,14579125,1068004
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden County",2018,15665657,1249178
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden County",2019,15086836,1204068
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden County",2020,15213582,1086133
Mount Ephraim borough,Camden,"Mount Ephraim borough, Camden County",2021,15169389,1147091
Mount Holly township,Burlington,"Mount Holly township, Burlington County",2015,30827543,2690731
Mount Holly township,Burlington,"Mount Holly township, Burlington County",2016,30657760,2317036
Mount Holly township,Burlington,"Mount Holly township, Burlington County",2017,29743249,2384546
Mount Holly township,Burlington,"Mount Holly township, Burlington County",2018,31355026,2764496
Mount Holly township,Burlington,"Mount Holly township, Burlington County",2019,30091729,2546917
Mount Holly township,Burlington,"Mount Holly township, Burlington County",2020,30986574,2408730
Mount Holly township,Burlington,"Mount Holly township, Burlington County",2021,32022956,2583598
Mount Laurel township,Burlington,"Mount Laurel township, Burlington County",2015,174641680,11969162
Mount Laurel township,Burlington,"Mount Laurel township, Burlington County",2016,171783606,10706566
Mount Laurel township,Burlington,"Mount Laurel township, Burlington County",2017,163112299,10554153
Mount Laurel township,Burlington,"Mount Laurel township, Burlington County",2018,172956081,12330631
Mount Laurel township,Burlington,"Mount Laurel township, Burlington County",2019,166012441,11609526
Mount Laurel township,Burlington,"Mount Laurel township, Burlington County",2020,173411322,10536077
Mount Laurel township,Burlington,"Mount Laurel township, Burlington County",2021,176034526,11166005
Mount Olive township,Morris,"Mount Olive township, Morris County",2015,91106378,5210453
Mount Olive township,Morris,"Mount Olive township, Morris County",2016,NDA,5073241
Mount Olive township,Morris,"Mount Olive township, Morris County",2017,NDA,5288694
Mount Olive township,Morris,"Mount Olive township, Morris County",2018,92208540,6212580
Mount Olive township,Morris,"Mount Olive township, Morris County",2019,89349564,6053771
Mount Olive township,Morris,"Mount Olive township, Morris County",2020,93639302,6814298
Mount Olive township,Morris,"Mount Olive township, Morris County",2021,94293552,8351201
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris County",2015,20041724,2334078
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris County",2016,NDA,1939978
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris County",2017,NDA,2146385
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris County",2018,19604881,2509642
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris County",2019,18938392,2305637
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris County",2020,19693476,2212715
Mountain Lakes borough,Morris,"Mountain Lakes borough, Morris County",2021,20155490,2266216
Mountainside borough,Union,"Mountainside borough, Union County",2015,29489758,2561153
Mountainside borough,Union,"Mountainside borough, Union County",2016,26229535,2588384
Mountainside borough,Union,"Mountainside borough, Union County",2017,25056570,2795144
Mountainside borough,Union,"Mountainside borough, Union County",2018,29436594,3165112
Mountainside borough,Union,"Mountainside borough, Union County",2019,28560191,3042756
Mountainside borough,Union,"Mountainside borough, Union County",2020,29571313,4117388
Mountainside borough,Union,"Mountainside borough, Union County",2021,29740802,5870607
Mullica township,Atlantic,"Mullica township, Atlantic County",2015,23884866,576343
Mullica township,Atlantic,"Mullica township, Atlantic County",2016,22359804,514500
Mullica township,Atlantic,"Mullica township, Atlantic County",2017,21237135,526204
Mullica township,Atlantic,"Mullica township, Atlantic County",2018,22170073,640936
Mullica township,Atlantic,"Mullica township, Atlantic County",2019,20646119,623259
Mullica township,Atlantic,"Mullica township, Atlantic County",2020,20410402,578647
Mullica township,Atlantic,"Mullica township, Atlantic County",2021,21000495,636046
National Park borough,Gloucester,"National Park borough, Gloucester County",2015,10723290,614002
National Park borough,Gloucester,"National Park borough, Gloucester County",2016,10563258,561512
National Park borough,Gloucester,"National Park borough, Gloucester County",2017,9955572,547620
National Park borough,Gloucester,"National Park borough, Gloucester County",2018,10595194,640925
National Park borough,Gloucester,"National Park borough, Gloucester County",2019,10428236,622044
National Park borough,Gloucester,"National Park borough, Gloucester County",2020,10515513,559922
National Park borough,Gloucester,"National Park borough, Gloucester County",2021,10486690,597460
Neptune City borough,Monmouth,"Neptune City borough, Monmouth County",2015,15594411,1159809
Neptune City borough,Monmouth,"Neptune City borough, Monmouth County",2016,NDA,1076498
Neptune City borough,Monmouth,"Neptune City borough, Monmouth County",2017,NDA,1080368
Neptune City borough,Monmouth,"Neptune City borough, Monmouth County",2018,15526948,1230365
Neptune City borough,Monmouth,"Neptune City borough, Monmouth County",2019,14775115,1162441
Neptune City borough,Monmouth,"Neptune City borough, Monmouth County",2020,15088859,1057371
Neptune City borough,Monmouth,"Neptune City borough, Monmouth County",2021,15331439,1119191
Neptune township,Monmouth,"Neptune township, Monmouth County",2015,95688191,8540815
Neptune township,Monmouth,"Neptune township, Monmouth County",2016,NDA,7548251
Neptune township,Monmouth,"Neptune township, Monmouth County",2017,NDA,7746994
Neptune township,Monmouth,"Neptune township, Monmouth County",2018,94980801,8807603
Neptune township,Monmouth,"Neptune township, Monmouth County",2019,90327549,8341280
Neptune township,Monmouth,"Neptune township, Monmouth County",2020,93251162,7699110
Neptune township,Monmouth,"Neptune township, Monmouth County",2021,95621232,8164003
Netcong borough,Morris,"Netcong borough, Morris County",2015,10394818,242401
Netcong borough,Morris,"Netcong borough, Morris County",2016,NDA,254873
Netcong borough,Morris,"Netcong borough, Morris County",2017,NDA,312329
Netcong borough,Morris,"Netcong borough, Morris County",2018,10149934,361676
Netcong borough,Morris,"Netcong borough, Morris County",2019,10083256,435157
Netcong borough,Morris,"Netcong borough, Morris County",2020,10391519,380236
Netcong borough,Morris,"Netcong borough, Morris County",2021,10595154,458916
New Brunswick city,Middlesex,"New Brunswick city, Middlesex County",2015,88950665,8550122
New Brunswick city,Middlesex,"New Brunswick city, Middlesex County",2016,88250111,7600157
New Brunswick city,Middlesex,"New Brunswick city, Middlesex County",2017,88669768,7874464
New Brunswick city,Middlesex,"New Brunswick city, Middlesex County",2018,90757992,8669155
New Brunswick city,Middlesex,"New Brunswick city, Middlesex County",2019,88322342,8164529
New Brunswick city,Middlesex,"New Brunswick city, Middlesex County",2020,89373686,7494032
New Brunswick city,Middlesex,"New Brunswick city, Middlesex County",2021,95854720,8058944
New Hanover township,Burlington,"New Hanover township, Burlington County",2015,15220299,730511
New Hanover township,Burlington,"New Hanover township, Burlington County",2016,NDA,615448
New Hanover township,Burlington,"New Hanover township, Burlington County",2017,NDA,668514
New Hanover township,Burlington,"New Hanover township, Burlington County",2018,14798550,754176
New Hanover township,Burlington,"New Hanover township, Burlington County",2019,14177423,714792
New Hanover township,Burlington,"New Hanover township, Burlington County",2020,13491371,624135
New Hanover township,Burlington,"New Hanover township, Burlington County",2021,14084871,673143
New Milford borough,Bergen,"New Milford borough, Bergen County",2015,47890083,5058371
New Milford borough,Bergen,"New Milford borough, Bergen County",2016,47395982,4210001
New Milford borough,Bergen,"New Milford borough, Bergen County",2017,44696150,4433573
New Milford borough,Bergen,"New Milford borough, Bergen County",2018,47835576,5077914
New Milford borough,Bergen,"New Milford borough, Bergen County",2019,44911458,4773996
New Milford borough,Bergen,"New Milford borough, Bergen County",2020,47451473,4402531
New Milford borough,Bergen,"New Milford borough, Bergen County",2021,47349496,4611895
New Providence borough,Union,"New Providence borough, Union County",2015,46007464,4974455
New Providence borough,Union,"New Providence borough, Union County",2016,NDA,4156126
New Providence borough,Union,"New Providence borough, Union County",2017,NDA,4496789
New Providence borough,Union,"New Providence borough, Union County",2018,43819747,5077276
New Providence borough,Union,"New Providence borough, Union County",2019,42722825,4804177
New Providence borough,Union,"New Providence borough, Union County",2020,43975738,4439690
New Providence borough,Union,"New Providence borough, Union County",2021,45163239,4628485
Newark city,Essex,"Newark city, Essex County",2015,474453865,60541463
Newark city,Essex,"Newark city, Essex County",2016,484976109,53696936
Newark city,Essex,"Newark city, Essex County",2017,481452855,55917976
Newark city,Essex,"Newark city, Essex County",2018,502464692,63244172
Newark city,Essex,"Newark city, Essex County",2019,489878028,61332915
Newark city,Essex,"Newark city, Essex County",2020,511222644,56875053
Newark city,Essex,"Newark city, Essex County",2021,528081513,59790102
Newfield borough,Gloucester,"Newfield borough, Gloucester County",2015,17334783,736070
Newfield borough,Gloucester,"Newfield borough, Gloucester County",2016,16470974,611850
Newfield borough,Gloucester,"Newfield borough, Gloucester County",2017,15554723,634762
Newfield borough,Gloucester,"Newfield borough, Gloucester County",2018,16577357,739687
Newfield borough,Gloucester,"Newfield borough, Gloucester County",2019,15789399,705034
Newfield borough,Gloucester,"Newfield borough, Gloucester County",2020,15803431,663799
Newfield borough,Gloucester,"Newfield borough, Gloucester County",2021,16678230,728121
Newton town,Sussex,"Newton town, Sussex County",2015,25386427,1166284
Newton town,Sussex,"Newton town, Sussex County",2016,NDA,1190391
Newton town,Sussex,"Newton town, Sussex County",2017,NDA,1291767
Newton town,Sussex,"Newton town, Sussex County",2018,25741665,1503363
Newton town,Sussex,"Newton town, Sussex County",2019,24744951,1459577
Newton town,Sussex,"Newton town, Sussex County",2020,25220316,1999062
Newton town,Sussex,"Newton town, Sussex County",2021,25996301,2909415
North Arlington borough,Bergen,"North Arlington borough, Bergen County",2015,40264445,4493872
North Arlington borough,Bergen,"North Arlington borough, Bergen County",2016,40075862,4076767
North Arlington borough,Bergen,"North Arlington borough, Bergen County",2017,37710175,4172335
North Arlington borough,Bergen,"North Arlington borough, Bergen County",2018,39624776,4480335
North Arlington borough,Bergen,"North Arlington borough, Bergen County",2019,37701366,4408382
North Arlington borough,Bergen,"North Arlington borough, Bergen County",2020,39854868,4081961
North Arlington borough,Bergen,"North Arlington borough, Bergen County",2021,39265480,4095411
North Bergen township,Hudson,"North Bergen township, Hudson County",2015,116347090,10983987
North Bergen township,Hudson,"North Bergen township, Hudson County",2016,115156651,9881222
North Bergen township,Hudson,"North Bergen township, Hudson County",2017,111250398,10150661
North Bergen township,Hudson,"North Bergen township, Hudson County",2018,118565603,11379888
North Bergen township,Hudson,"North Bergen township, Hudson County",2019,113790719,10902729
North Bergen township,Hudson,"North Bergen township, Hudson County",2020,119274066,9953308
North Bergen township,Hudson,"North Bergen township, Hudson County",2021,118716358,10426128
North Brunswick township,Middlesex,"North Brunswick township, Middlesex County",2015,108632559,11269045
North Brunswick township,Middlesex,"North Brunswick township, Middlesex County",2016,108438795,10277720
North Brunswick township,Middlesex,"North Brunswick township, Middlesex County",2017,102944363,10483250
North Brunswick township,Middlesex,"North Brunswick township, Middlesex County",2018,106569019,11216920
North Brunswick township,Middlesex,"North Brunswick township, Middlesex County",2019,104672366,10993692
North Brunswick township,Middlesex,"North Brunswick township, Middlesex County",2020,108063390,10097243
North Brunswick township,Middlesex,"North Brunswick township, Middlesex County",2021,109389530,10865161
North Caldwell borough,Essex,"North Caldwell borough, Essex County",2015,33854765,4140275
North Caldwell borough,Essex,"North Caldwell borough, Essex County",2016,33273473,3493791
North Caldwell borough,Essex,"North Caldwell borough, Essex County",2017,31778807,3715372
North Caldwell borough,Essex,"North Caldwell borough, Essex County",2018,33418111,4164548
North Caldwell borough,Essex,"North Caldwell borough, Essex County",2019,33253670,4352887
North Caldwell borough,Essex,"North Caldwell borough, Essex County",2020,33763770,3798030
North Caldwell borough,Essex,"North Caldwell borough, Essex County",2021,34120023,3911512
North Haledon borough,Passaic,"North Haledon borough, Passaic County",2015,31338551,3853114
North Haledon borough,Passaic,"North Haledon borough, Passaic County",2016,31032421,3494467
North Haledon borough,Passaic,"North Haledon borough, Passaic County",2017,29487607,3501829
North Haledon borough,Passaic,"North Haledon borough, Passaic County",2018,31467509,4015757
North Haledon borough,Passaic,"North Haledon borough, Passaic County",2019,29733920,3890082
North Haledon borough,Passaic,"North Haledon borough, Passaic County",2020,31132115,3565811
North Haledon borough,Passaic,"North Haledon borough, Passaic County",2021,30912645,3710952
North Hanover township,Burlington,"North Hanover township, Burlington County",2015,19060174,70826
North Hanover township,Burlington,"North Hanover township, Burlington County",2016,NDA,55159
North Hanover township,Burlington,"North Hanover township, Burlington County",2017,NDA,62441
North Hanover township,Burlington,"North Hanover township, Burlington County",2018,18150662,76705
North Hanover township,Burlington,"North Hanover township, Burlington County",2019,17521863,82899
North Hanover township,Burlington,"North Hanover township, Burlington County",2020,17614768,78848
North Hanover township,Burlington,"North Hanover township, Burlington County",2021,17976100,84873
North Plainfield borough,Somerset,"North Plainfield borough, Somerset County",2015,49807220,5020624
North Plainfield borough,Somerset,"North Plainfield borough, Somerset County",2016,49467638,4526194
North Plainfield borough,Somerset,"North Plainfield borough, Somerset County",2017,46737129,4578736
North Plainfield borough,Somerset,"North Plainfield borough, Somerset County",2018,50393846,5382008
North Plainfield borough,Somerset,"North Plainfield borough, Somerset County",2019,47672878,5041534
North Plainfield borough,Somerset,"North Plainfield borough, Somerset County",2020,49372472,4702154
North Plainfield borough,Somerset,"North Plainfield borough, Somerset County",2021,50035409,5006834
North Wildwood city,Cape May,"North Wildwood city, Cape May County",2015,37816146,2269463
North Wildwood city,Cape May,"North Wildwood city, Cape May County",2016,36940282,1866512
North Wildwood city,Cape May,"North Wildwood city, Cape May County",2017,33970119,1835217
North Wildwood city,Cape May,"North Wildwood city, Cape May County",2018,37773236,2248058
North Wildwood city,Cape May,"North Wildwood city, Cape May County",2019,37203987,2110029
North Wildwood city,Cape May,"North Wildwood city, Cape May County",2020,37610268,1891463
North Wildwood city,Cape May,"North Wildwood city, Cape May County",2021,39006861,2171180
Northfield city,Atlantic,"Northfield city, Atlantic County",2015,31371398,2861974
Northfield city,Atlantic,"Northfield city, Atlantic County",2016,30547729,2343185
Northfield city,Atlantic,"Northfield city, Atlantic County",2017,27853999,2413745
Northfield city,Atlantic,"Northfield city, Atlantic County",2018,29320641,2856645
Northfield city,Atlantic,"Northfield city, Atlantic County",2019,27802897,2641076
Northfield city,Atlantic,"Northfield city, Atlantic County",2020,27728861,2445429
Northfield city,Atlantic,"Northfield city, Atlantic County",2021,28321899,2655253
Northvale borough,Bergen,"Northvale borough, Bergen County",2015,14323172,1975910
Northvale borough,Bergen,"Northvale borough, Bergen County",2016,14084523,1637278
Northvale borough,Bergen,"Northvale borough, Bergen County",2017,13467504,1715765
Northvale borough,Bergen,"Northvale borough, Bergen County",2018,14730066,1975375
Northvale borough,Bergen,"Northvale borough, Bergen County",2019,13715335,1880879
Northvale borough,Bergen,"Northvale borough, Bergen County",2020,14655067,1744695
Northvale borough,Bergen,"Northvale borough, Bergen County",2021,14572675,1809606
Norwood borough,Bergen,"Norwood borough, Bergen County",2015,21648927,2923763
Norwood borough,Bergen,"Norwood borough, Bergen County",2016,21181160,2428059
Norwood borough,Bergen,"Norwood borough, Bergen County",2017,19917314,2613842
Norwood borough,Bergen,"Norwood borough, Bergen County",2018,21011502,2952331
Norwood borough,Bergen,"Norwood borough, Bergen County",2019,19595427,2814519
Norwood borough,Bergen,"Norwood borough, Bergen County",2020,21150506,2631946
Norwood borough,Bergen,"Norwood borough, Bergen County",2021,20924480,2730038
Nutley township,Essex,"Nutley township, Essex County",2015,88418460,9674213
Nutley township,Essex,"Nutley township, Essex County",2016,88159272,8545302
Nutley township,Essex,"Nutley township, Essex County",2017,84333647,8840308
Nutley township,Essex,"Nutley township, Essex County",2018,88342575,9805518
Nutley township,Essex,"Nutley township, Essex County",2019,83326735,9351434
Nutley township,Essex,"Nutley township, Essex County",2020,86690781,8591700
Nutley township,Essex,"Nutley township, Essex County",2021,86414273,9052997
Oakland borough,Bergen,"Oakland borough, Bergen County",2015,46895283,5525166
Oakland borough,Bergen,"Oakland borough, Bergen County",2016,46265368,4786445
Oakland borough,Bergen,"Oakland borough, Bergen County",2017,43522388,4981212
Oakland borough,Bergen,"Oakland borough, Bergen County",2018,46018749,5617509
Oakland borough,Bergen,"Oakland borough, Bergen County",2019,43411458,5387445
Oakland borough,Bergen,"Oakland borough, Bergen County",2020,45743771,5048438
Oakland borough,Bergen,"Oakland borough, Bergen County",2021,45326585,5189872
Oaklyn borough,Camden,"Oaklyn borough, Camden County",2015,13277087,1139362
Oaklyn borough,Camden,"Oaklyn borough, Camden County",2016,13482456,1044974
Oaklyn borough,Camden,"Oaklyn borough, Camden County",2017,12577622,1000718
Oaklyn borough,Camden,"Oaklyn borough, Camden County",2018,13440392,1195953
Oaklyn borough,Camden,"Oaklyn borough, Camden County",2019,12853226,1134596
Oaklyn borough,Camden,"Oaklyn borough, Camden County",2020,13192903,1001191
Oaklyn borough,Camden,"Oaklyn borough, Camden County",2021,13489334,1069285
Ocean City city,Cape May,"Ocean City city, Cape May County",2015,126884097,8110062
Ocean City city,Cape May,"Ocean City city, Cape May County",2016,123575972,6816187
Ocean City city,Cape May,"Ocean City city, Cape May County",2017,114483490,6696039
Ocean City city,Cape May,"Ocean City city, Cape May County",2018,128517284,8469615
Ocean City city,Cape May,"Ocean City city, Cape May County",2019,123677413,7563036
Ocean City city,Cape May,"Ocean City city, Cape May County",2020,124295042,6634373
Ocean City city,Cape May,"Ocean City city, Cape May County",2021,126616088,7592443
Ocean Gate borough,Ocean,"Ocean Gate borough, Ocean County",2015,8141902,738201
Ocean Gate borough,Ocean,"Ocean Gate borough, Ocean County",2016,NDA,688086
Ocean Gate borough,Ocean,"Ocean Gate borough, Ocean County",2017,NDA,670276
Ocean Gate borough,Ocean,"Ocean Gate borough, Ocean County",2018,8851554,794525
Ocean Gate borough,Ocean,"Ocean Gate borough, Ocean County",2019,8562321,759573
Ocean Gate borough,Ocean,"Ocean Gate borough, Ocean County",2020,8991223,685372
Ocean Gate borough,Ocean,"Ocean Gate borough, Ocean County",2021,9394312,728364
Ocean township,Monmouth,"Ocean township, Monmouth County",2015,113264709,9845949
Ocean township,Monmouth,"Ocean township, Monmouth County",2016,NDA,8091285
Ocean township,Monmouth,"Ocean township, Monmouth County",2017,NDA,8726847
Ocean township,Monmouth,"Ocean township, Monmouth County",2018,111413514,9750681
Ocean township,Monmouth,"Ocean township, Monmouth County",2019,107306386,9459969
Ocean township,Monmouth,"Ocean township, Monmouth County",2020,111160618,8892615
Ocean township,Monmouth,"Ocean township, Monmouth County",2021,114462423,9371520
Ocean township,Ocean,"Ocean township, Ocean County",2015,36603721,3246878
